"raw_tag","normalized_tag","provider_comic_count","context","review_notes"
"原神: 夏洛蒂","原神: 夏洛蒂","1","OPEN_WORLD",""
"原神: 迪希雅","原神: 迪希雅","1","OPEN_WORLD",""
"在地下城尋求邂逅是否搞錯了什麼","在地下城尋求邂逅是否搞錯了什麼","1","OPEN_WORLD",""
"地下城: 赫斯緹雅","地下城: 赫斯緹雅","1","OPEN_WORLD",""
"死亡","死亡","1","OPEN_WORLD",""
"嘔吐","嘔吐","2","OPEN_WORLD",""
"排球少年！！: 黑尾鐵朗","排球少年!!: 黑尾鐵朗","1","OPEN_WORLD",""
"原神: 琺露珊","原神: 琺露珊","2","OPEN_WORLD",""
"原神: 綺良良","原神: 綺良良","1","OPEN_WORLD",""
"原神:雲堇","原神:雲堇","1","OPEN_WORLD",""
"群像","群像","1","OPEN_WORLD",""
"肛脫","肛脫","2","OPEN_WORLD",""
"熱血","熱血","2","OPEN_WORLD",""
"呪文まみれ (H・O)","呪文まみれ (h・o)","1","OPEN_WORLD",""
"空之境界: 兩儀式","空之境界: 兩儀式","1","OPEN_WORLD",""
"天降之物: 伊卡洛斯","天降之物: 伊卡洛斯","1","OPEN_WORLD",""
"鬥智","鬥智","1","OPEN_WORLD",""
"原神: 卡維","原神: 卡維","1","OPEN_WORLD",""
"東方: 八坂神奈子","東方: 八坂神奈子","2","OPEN_WORLD",""
"妖精的尾巴","妖精的尾巴","1","OPEN_WORLD",""
"Nomoe36","nomoe36","1","OPEN_WORLD",""
"C60","c60","1","OPEN_WORLD",""
"英雄聯盟: 拉克絲","英雄聯盟: 拉克絲","2","OPEN_WORLD",""
"英雄聯盟: 菲歐拉","英雄聯盟: 菲歐拉","1","OPEN_WORLD",""
"東方: 鈴瑚","東方: 鈴瑚","2","OPEN_WORLD",""
"艦娘: 歐根親王","艦娘: 歐根親王","1","OPEN_WORLD",""
"東方: 赤蠻奇","東方: 赤蠻奇","2","OPEN_WORLD",""
"雙性","雙性","1","OPEN_WORLD",""
"第五人格","第五人格","1","OPEN_WORLD",""
"C65","c65","1","OPEN_WORLD",""
"五等分的花嫁：五月","五等分的花嫁:五月","1","OPEN_WORLD",""
"鳴人","鳴人","1","OPEN_WORLD",""
"艦娘: 龍田","艦娘: 龍田","2","OPEN_WORLD",""
"IDOLiSH7","idolish7","1","OPEN_WORLD",""
"C63","c63","1","OPEN_WORLD",""
"近親相交: 女","近親相交: 女","1","OPEN_WORLD",""
"抖S","抖s","1","OPEN_WORLD",""
"碧藍航線: 山城","碧藍航線: 山城","1","OPEN_WORLD",""
"COMIC1☆4","comic1☆4","2","OPEN_WORLD",""
"七大罪","七大罪","1","OPEN_WORLD",""
"七大罪: 伊麗莎白","七大罪: 伊麗莎白","1","OPEN_WORLD",""
"原神:荒瀧一鬥","原神:荒瀧一鬥","1","OPEN_WORLD",""
"超級瑪利歐: 碧奇","超級瑪利歐: 碧奇","2","OPEN_WORLD",""
"偽戀","偽戀","1","OPEN_WORLD",""
"偽戀: 千棘","偽戀: 千棘","1","OPEN_WORLD",""
"偽戀: 誠士郎","偽戀: 誠士郎","1","OPEN_WORLD",""
"JOJO: 喬魯諾","jojo: 喬魯諾","1","OPEN_WORLD",""
"JOJO：米斯達","jojo:米斯達","1","OPEN_WORLD",""
"單人作品","單人作品","5","OPEN_WORLD",""
"零之使魔","零之使魔","1","OPEN_WORLD",""
"RE: 菜月昂","re: 菜月昂","2","OPEN_WORLD",""
"東方: 姬海棠羽立","東方: 姬海棠羽立","2","OPEN_WORLD",""
"EVA: 渚薰","eva: 渚薰","1","OPEN_WORLD",""
"艦娘: 武藏","艦娘: 武藏","1","OPEN_WORLD",""
"艦娘: 夕立","艦娘: 夕立","2","OPEN_WORLD",""
"SAO: 里香","sao: 里香","1","OPEN_WORLD",""
"艦娘: 飛龍","艦娘: 飛龍","1","OPEN_WORLD",""
"OVERLORD: 雅兒貝德","overlord: 雅兒貝德","1","OPEN_WORLD",""
"英語 ENG","英語 eng","1","OPEN_WORLD",""
"魷魚娘","魷魚娘","2","OPEN_WORLD",""
"C72","c72","2","OPEN_WORLD",""
"C71","c71","2","OPEN_WORLD",""
"C69","c69","2","OPEN_WORLD",""
"C68","c68","2","OPEN_WORLD",""
